

Date,Time,ROI 1 4Sigma Width A1 [µm],ROI 1 4Sigma Width A2 [µm],ROI 1 Centroid Position A1 [µm],ROI 1 Centroid Position A2 [µm],ROI 1 Goodness of Gaussian fit A1,ROI 1 Roughness of Gaussian fit A1,ROI 1 Goodness of Gaussian fit A2,ROI 1 Roughness of Gaussian fit A2,
5/31/2018,5:26:57 PM,3277.15,3593.98,4856.93,5346.30,0.01,0.03,0.01,0.03,
5/31/2018,5:26:58 PM,3253.37,3556.29,4870.43,5328.09,0.01,0.02,0.01,0.02,
5/31/2018,5:26:59 PM,3333.59,3561.57,4872.37,5298.89,0.01,0.02,0.01,0.02,
5/31/2018,5:27:00 PM,3357.73,3553.68,4867.03,5327.70,0.01,0.03,0.01,0.02,
5/31/2018,5:27:01 PM,3315.29,3504.48,4865.14,5317.38,0.01,0.03,0.02,0.02,
5/31/2018,5:27:02 PM,3210.99,3553.52,4867.31,5320.65,0.01,0.02,0.01,0.02,
5/31/2018,5:27:03 PM,3182.07,3509.00,4873.27,5327.71,0.01,0.02,0.02,0.02,
5/31/2018,5:27:05 PM,3291.82,3542.58,4870.68,5318.48,0.01,0.03,0.01,0.02,
5/31/2018,5:27:06 PM,3150.52,3502.22,4874.35,5336.59,0.01,0.02,0.02,0.02,
5/31/2018,5:27:07 PM,3322.89,3527.50,4886.30,5311.84,0.01,0.03,0.01,0.02,
5/31/2018,5:27:08 PM,3244.41,3549.38,4880.83,5332.91,0.01,0.02,0.01,0.02,
5/31/2018,5:27:09 PM,3250.06,3500.45,4877.98,5330.40,0.01,0.02,0.02,0.02,
5/31/2018,5:27:10 PM,3277.03,3480.86,4883.82,5333.42,0.01,0.02,0.03,0.02,
5/31/2018,5:27:11 PM,3332.42,3581.91,4890.27,5329.37,0.01,0.03,0.01,0.02,
5/31/2018,5:27:12 PM,3247.39,3387.77,4888.33,5348.18,0.01,0.02,0.03,0.02,
5/31/2018,5:27:14 PM,3372.98,3516.00,4894.13,5335.90,0.01,0.03,0.02,0.02,
5/31/2018,5:27:15 PM,3381.65,3468.63,4892.06,5317.57,0.01,0.03,0.02,0.02,
5/31/2018,5:27:16 PM,3328.27,3621.20,4886.47,5308.48,0.01,0.03,0.01,0.03,
5/31/2018,5:27:17 PM,3240.62,3559.37,4872.17,5308.03,0.01,0.02,0.01,0.02,
5/31/2018,5:27:18 PM,3190.47,3480.94,4888.04,5327.81,0.01,0.02,0.02,0.02,
5/31/2018,5:27:19 PM,3228.42,3531.00,4872.08,5308.54,0.01,0.02,0.01,0.02,
5/31/2018,5:27:20 PM,3307.50,3540.17,4871.31,5307.22,0.01,0.02,0.01,0.02,
5/31/2018,5:27:22 PM,3385.60,3524.43,4876.41,5309.89,0.01,0.03,0.02,0.03,
5/31/2018,5:27:23 PM,3386.77,3596.64,4852.05,5314.63,0.01,0.02,0.01,0.03,
5/31/2018,5:27:24 PM,3286.29,3596.49,4850.94,5326.81,0.01,0.02,0.01,0.03,
5/31/2018,5:27:25 PM,3308.60,3384.95,4863.73,5345.23,0.01,0.02,0.05,0.02,
5/31/2018,5:27:26 PM,3390.73,3434.74,4871.99,5325.60,0.01,0.03,0.04,0.02,
5/31/2018,5:27:27 PM,3321.37,3503.94,4875.90,5327.17,0.01,0.03,0.01,0.02,
5/31/2018,5:27:29 PM,3304.82,3584.92,4861.10,5317.23,0.01,0.02,0.01,0.02,
