

Date,Time,ROI 1 4Sigma Width A1 [µm],ROI 1 4Sigma Width A2 [µm],ROI 1 Goodness of Gaussian fit A1,ROI 1 Roughness of Gaussian fit A1,ROI 1 Goodness of Gaussian fit A2,ROI 1 Roughness of Gaussian fit A2,
5/31/2018,4:12:29 PM,3445.17,3711.17,0.05,0.02,0.07,0.04,
5/31/2018,4:12:30 PM,3840.36,3966.59,0.02,0.03,0.05,0.04,
5/31/2018,4:12:31 PM,3670.00,3935.62,0.03,0.02,0.07,0.04,
5/31/2018,4:12:32 PM,3501.33,4062.02,0.04,0.02,0.05,0.05,
5/31/2018,4:12:33 PM,3511.73,3394.03,0.05,0.02,0.11,0.02,
5/31/2018,4:12:34 PM,3605.21,3731.59,0.04,0.04,0.06,0.03,
5/31/2018,4:12:35 PM,4056.51,3778.72,0.02,0.03,0.06,0.04,
5/31/2018,4:12:36 PM,3653.18,3796.73,0.03,0.03,0.05,0.04,
5/31/2018,4:12:37 PM,3730.12,3638.31,0.02,0.03,0.13,0.03,
5/31/2018,4:12:38 PM,3405.82,3515.28,0.06,0.03,0.11,0.03,
5/31/2018,4:12:39 PM,3685.04,3678.56,0.04,0.03,0.09,0.04,
5/31/2018,4:12:40 PM,3121.36,4030.98,0.16,0.02,0.04,0.04,
5/31/2018,4:12:41 PM,3772.75,3766.55,0.03,0.02,0.09,0.03,
5/31/2018,4:12:42 PM,3409.17,3520.08,0.08,0.03,0.24,0.04,
5/31/2018,4:12:43 PM,3519.24,3611.51,0.05,0.02,0.17,0.03,
5/31/2018,4:12:44 PM,3630.46,3935.95,0.03,0.02,0.06,0.04,
5/31/2018,4:12:45 PM,3562.07,4002.06,0.04,0.02,0.03,0.06,
5/31/2018,4:12:46 PM,3852.94,3935.31,0.02,0.03,0.08,0.04,
5/31/2018,4:12:47 PM,3392.94,3499.47,0.07,0.02,0.09,0.03,
5/31/2018,4:12:48 PM,3746.04,3685.74,0.03,0.02,0.17,0.03,
5/31/2018,4:12:49 PM,3841.03,3780.03,0.02,0.03,0.05,0.04,
5/31/2018,4:12:50 PM,3178.49,3989.32,0.05,0.02,0.03,0.05,
5/31/2018,4:12:51 PM,3831.32,4066.48,0.03,0.02,0.03,0.05,
5/31/2018,4:12:52 PM,3662.23,3940.76,0.05,0.03,0.06,0.04,
5/31/2018,4:12:53 PM,3724.40,4131.98,0.03,0.03,0.03,0.05,
5/31/2018,4:12:54 PM,3359.23,3968.79,0.06,0.02,0.05,0.05,
5/31/2018,4:12:55 PM,3203.48,3510.65,0.17,0.02,0.11,0.03,
5/31/2018,4:12:56 PM,4114.13,3868.56,0.02,0.03,0.06,0.05,
5/31/2018,4:12:57 PM,3240.57,3898.66,0.07,0.03,0.06,0.04,
5/31/2018,4:12:58 PM,3766.91,3632.01,0.02,0.03,0.10,0.03,
5/31/2018,4:12:59 PM,3526.78,3564.27,0.03,0.02,0.19,0.03,
5/31/2018,4:13:00 PM,3417.70,3384.53,0.04,0.03,0.10,0.03,
5/31/2018,4:13:01 PM,3733.49,3688.56,0.04,0.03,0.07,0.04,
5/31/2018,4:13:02 PM,3433.26,3659.86,0.03,0.03,0.15,0.04,
5/31/2018,4:13:03 PM,3360.20,3657.38,0.06,0.02,0.15,0.04,
5/31/2018,4:13:04 PM,3894.07,3737.30,0.02,0.03,0.14,0.04,
5/31/2018,4:13:05 PM,3741.77,3839.28,0.03,0.03,0.06,0.04,
5/31/2018,4:13:06 PM,3644.72,3674.57,0.04,0.02,0.11,0.04,
5/31/2018,4:13:07 PM,3631.96,4089.18,0.03,0.03,0.04,0.05,
5/31/2018,4:13:08 PM,3691.79,3829.72,0.02,0.04,0.04,0.04,
5/31/2018,4:13:09 PM,3443.24,3806.62,0.05,0.02,0.09,0.04,
5/31/2018,4:13:10 PM,3709.36,4160.96,0.04,0.02,0.03,0.06,
5/31/2018,4:13:11 PM,3403.18,4068.44,0.08,0.02,0.04,0.04,
5/31/2018,4:13:12 PM,3510.16,3815.16,0.05,0.02,0.07,0.04,
5/31/2018,4:13:13 PM,3641.16,3644.58,0.03,0.03,0.15,0.03,
5/31/2018,4:13:14 PM,3382.76,3860.17,0.07,0.02,0.07,0.04,
5/31/2018,4:13:15 PM,3652.34,3412.63,0.05,0.03,0.04,0.03,
5/31/2018,4:13:16 PM,3151.72,3746.35,0.09,0.02,0.10,0.04,
5/31/2018,4:13:17 PM,3409.08,3825.46,0.04,0.02,0.08,0.04,
5/31/2018,4:13:18 PM,3615.11,3980.95,0.05,0.02,0.04,0.05,
5/31/2018,4:13:19 PM,3325.43,3538.41,0.09,0.02,0.12,0.03,
5/31/2018,4:13:20 PM,4032.04,3656.22,0.02,0.03,0.12,0.04,
5/31/2018,4:13:21 PM,3627.94,3693.85,0.03,0.03,0.09,0.04,
5/31/2018,4:13:22 PM,3370.82,3473.55,0.09,0.02,0.11,0.02,
5/31/2018,4:13:23 PM,3610.28,3496.49,0.03,0.03,0.12,0.03,
5/31/2018,4:13:24 PM,3780.41,4026.42,0.02,0.03,0.05,0.05,
